,k_agg,shock_agg
319,5711.184091552794,0
320,5729.040229437327,0
321,5746.779271146406,0
322,5764.406319077827,0
323,5781.92644222552,0
324,5799.344646373927,0
325,5816.6658495282,0
326,5833.894862245083,0
327,5851.0363708668065,0
328,5868.0949252153805,0
329,5885.074929419921,0
330,5901.98063406234,0
331,5918.815162525823,0
332,5935.581647020241,0
333,5952.283255043767,0
334,5968.923157423726,0
335,5985.5045020713205,0
336,6002.030392303535,0
337,6018.503869612463,0
338,6034.927899170286,0
339,6051.305359671092,1
340,6067.639034580089,1
341,6084.091197794829,1
342,6100.655595862394,1
343,6117.32650989377,1
344,6134.09869003141,1
345,6150.967299169413,1
346,6167.927863678327,1
347,6184.97623149153,1
348,6202.108534644822,1
349,6219.32115772709,1
350,6236.610709702127,1
351,6253.970054963242,1
352,6271.395419444203,1
353,6288.883436053753,1
354,6306.4310863408555,1
355,6324.035651007833,1
356,6341.694667149441,1
357,6359.405891335018,1
358,6377.167268250597,1
359,6394.976903433014,0
360,6412.833040365992,0
361,6430.572081157134,0
362,6448.199128203002,0
363,6465.71925049634,0
364,6483.137453820447,0
365,6500.458656179375,0
366,6517.687668128814,0
367,6534.829176009978,0
368,6551.887729943126,0
369,6568.867733747116,0
370,6585.773438003289,0
371,6602.6079660932155,0
372,6619.374450226377,0
373,6636.076057900566,0
374,6652.715959942738,0
375,6669.297304263727,0
376,6685.823194326866,0
377,6702.2966714723025,0
378,6718.720700872038,0
379,6735.098161219995,1
380,6751.431835981209,1
381,6767.883999053393,1
382,6784.4483969834355,1
383,6801.1193108821335,1
384,6817.89149089176,1
385,6834.760099906242,1
386,6851.720664295961,1
387,6868.769031994138,1
388,6885.901334859873,1
389,6903.113957664153,1
390,6920.403509370457,1
391,6937.7628543718265,1
392,6955.188218601737,1
393,6972.6762349686505,1
394,6990.223885021253,1
395,7007.828449608152,1
396,7025.487465672171,1
397,7043.198689782588,1
398,7060.960066625366,1
399,7078.769701737283,0
400,7096.625838601996,0
401,7114.364879327462,0
402,7131.991926310133,0
403,7149.512048542648,0
404,7166.930251657396,0
405,7184.251453937614,0
406,7201.480465810892,0
407,7218.621973618372,0
408,7235.68052733062,0
409,7252.6605309210845,0
410,7269.566234970866,0
411,7286.400762861978,0
412,7303.167246803596,0
413,7319.868854293226,0
414,7336.508756036992,0
415,7353.090100070343,0
416,7369.615989709496,0
417,7386.0894664457965,0
418,7402.513495569556,0
419,7418.89095565111,1
420,7435.224630155153,1
421,7451.676792949296,1
422,7468.241190609803,1
423,7484.912104247271,1
424,7501.684284003764,1
