episodes_total,1 households,2 households,3 households,4 households,5 households
370,39.65774001683431,32.78073354937496,28.952894960883963,17.46832561884597,24.102933586774505
375,39.79261151825929,32.77071090372202,29.29087100408436,17.530810245193464,24.097870291054384
380,39.75207552970876,32.777324260836274,29.26602885962835,18.65959838776077,23.999491808676968
385,39.54468439452024,32.78044034414255,29.21554127153912,18.993628764173742,23.94176533418712
390,39.34172445843688,32.7800151324363,29.32660576563705,17.992170781472737,23.90947534680345
395,39.29173080693297,32.778499845207,29.38743076003445,17.74847459885613,23.53703431746546
400,39.43110765023022,32.77327911576178,29.386366512748957,18.1405363096808,23.273126731405068
405,39.64280656149812,32.772265017602216,29.34559815660436,17.59786390568873,23.187621086736044
410,39.7860234082357,32.767933375838155,29.116217284947588,20.25639753306698,23.24553292563409
415,39.81354981614937,32.76531808035438,29.293818798140705,19.583056841057115,21.89583343956561
420,39.78151149708206,32.75974107357315,29.3360077377225,20.41644599324343,21.908720882441344
425,39.77833515182443,32.75808041027486,29.34472138225264,19.62212321107288,22.30830319904152
430,39.79631009132941,32.75359181988719,29.29965553505907,21.842578622314765,21.34639274953857
435,39.77635857988263,32.758215438799304,29.45674718540335,19.43269460949885,20.8053820424566
440,39.69837153497021,32.753023684546505,29.316532556902622,20.19361872465587,20.57069485067702
445,39.71536691985982,32.75334852608388,29.32998388553675,18.531062829387587,20.410743871389062
450,39.79367542332725,32.74844953953631,29.441889704182067,19.3983868049976,20.56624705205436
455,39.7945252064476,32.745163318463376,29.39568834733759,18.050536084050258,18.718416860277884
460,39.71982518229996,32.74770997335214,29.445403528749043,17.808410585341136,19.296026557461733
465,39.61583139211194,32.74939171997627,29.41426620490197,18.521490591771254,20.372584241634268
470,39.66735897859654,32.75175200570419,29.42806631039228,18.919965629960757,21.27501631407772
475,39.70777352931989,32.645140075734375,29.418732165261115,18.659417472977346,22.228139076025123
480,39.7669153455242,32.58599760094279,29.40951729373357,17.937900876259995,22.657836087681645
485,39.805261199609525,32.61514504971595,29.40805490033984,17.784226849597523,23.235549456192548
490,39.80859010859866,32.54361682372284,29.384847624494395,17.309225705187174,23.67432074154017
495,39.791733863725234,32.632921579018245,29.35897868337858,17.92370274941601,23.998055222767157
500,39.70961980489546,32.5629866622246,29.405942376046827,17.552172044665088,24.145222511968303
505,39.57827356807788,32.58112042592428,29.39371342725612,16.995777162284526,23.72947004365201
510,39.44178455520807,32.60404395060996,29.372777440468266,16.957606721004776,23.529457230938068
515,39.13241756359445,32.618996326842975,29.40281985094328,16.594514777835283,23.271061535732034
520,38.73660522682309,32.66544641419448,29.39180007029614,16.1049180931012,23.88377423852351
525,38.358147526896566,32.72906594262909,29.388911999530364,16.649078297108744,24.18778783765772
530,38.02617042127896,32.76307139205423,29.37649590783289,17.085430038553937,24.00545647970256
535,37.31689525891364,32.779487306161975,29.37532587004529,16.606548725817287,23.695867538830058
540,36.601252242006936,32.78059842234673,29.34702210543203,16.656496740766297,23.72015936235948
545,35.972164851031245,32.77586860086864,29.32965694115755,16.948328151391927,23.558860010296712
550,35.4741345283325,32.78863105934437,29.31755428735306,17.11514232929194,23.758059570193648
555,35.19388241670557,32.78863530345285,29.315371690757303,17.48121485367625,24.13593258887108
560,34.842435703611315,32.78437529633027,29.34455995731225,17.30200001369818,24.21665653961026
565,34.51432195851714,32.75909986013358,29.35579308330825,17.331812346785945,24.05244746923476
570,34.697843357107985,32.751338905197805,29.36991832368184,17.822082795209393,23.8363735783848
575,35.551275375835246,32.78050859232924,29.399646343048737,18.47927476051655,23.4889698625912
580,36.53439885234512,32.7772711801118,29.43475408406626,18.563263378333296,23.044903392642
585,37.516747041055154,32.78054163713553,29.427703074394103,18.646530631577,22.48345544147031
590,38.23152004428606,32.77397521180808,29.432575470522774,19.092198870518743,22.421920060644545
595,38.70627354398744,32.76153471295731,29.397606553818072,19.287737159019365,22.47171784241982
600,39.19421442550514,32.76178090296269,29.383474482581786,19.346095948318723,22.33681852595096
605,39.36160728481797,32.7699481543424,29.410910834417336,19.097271717290063,21.753016849830804
610,39.5522253025049,32.77054800668642,29.388922301934866,19.15270086231624,21.39524742448632
615,39.68013212770112,32.776518890455336,29.40106931442732,19.160099180282348,21.045579426335053
620,39.73954061995094,32.76718128549381,29.37267284401045,19.53703579122504,20.145833363859797
625,39.77906517149315,32.76298131413795,29.39034960007705,18.944103102878035,20.57026218501445
630,39.81552100920325,32.77521771570271,29.31749526082244,19.537653921762608,20.14848325749723
635,39.81914930342485,32.77534138185192,29.28774370570523,19.38722090188435,20.267118485857043
640,39.765726430887945,32.767643262788575,29.308824440084244,18.829818070038847,20.51723862035709
645,39.61584425501058,32.7608768346738,29.28170004117621,19.056995158005456,20.661757516862306
650,39.50843408564362,32.7749380482475,29.264810811788763,18.91203040718924,20.586113468178688
655,39.49451217185509,32.77322048457905,29.25751335182027,19.06178108818939,21.010934298000542
660,39.60385076395484,32.771164127788175,29.238452388570813,18.65612534222006,21.20039835747474
665,39.78542682575691,32.768917255353735,29.200092173400144,18.540387338916855,21.714456800109044
670,39.80151438273031,32.77011030657886,29.223838558008456,18.28207001771525,22.77606028294344
675,39.58975327864231,32.76846948962525,29.205398384542352,19.084435872016517,23.40891620064828
680,39.4025923973174,32.76912244905615,29.206576060603943,18.974241222157172,22.821924024097854
685,39.51453306823198,32.76237497029062,29.200132011917667,18.97292405025896,22.986031707306807
690,39.68175838020756,32.76369210000069,29.33160936792892,18.701075649921755,22.996212794956204
695,39.60253604998097,32.76083380639327,29.2839423132477,17.929131323342727,23.22892384517912
700,39.66227033014928,32.7505462024382,29.20985514254383,17.97598191615473,23.204264651914787
705,39.7207595956197,32.74807247778162,29.21029144507994,18.303077739168117,23.395955303077407
710,39.545806625543335,32.75985497115581,29.19658407497669,18.816819287562843,23.25376306187861
715,39.68629430184848,32.76236683137258,29.213549116608014,18.837193005617813,23.203819897548023
720,39.73985185432178,32.76086956872415,29.234623052913427,19.12856031934933,22.9074452784693
725,39.81997014341746,32.760764730005015,29.246185654027872,19.143565937477334,22.273580653813788
730,39.78990582780691,32.761581221198014,29.240748069413364,19.19966027687384,22.31026697272068
735,39.68785071389898,32.76288424804851,29.26001684261248,19.332760190223624,22.3841651612918
740,39.46925602166486,32.76152461158149,29.249306042391822,19.23240423943927,22.69791221184653
745,39.08287366992338,32.75406186937719,29.293808301767303,19.245993045831824,22.83308263104903
750,38.63171251713042,32.75943615428993,29.31507805576426,19.40952898655417,22.508247097754456
755,38.26006757408053,32.75646875963362,29.296856630457,19.233345752575136,22.36997561215041
760,37.65072765093738,32.74673132921744,29.274789839254343,18.90691579035648,22.1810342514956
765,36.56107228959972,32.731339906456284,29.28491070667895,19.061969370260996,22.431853432145363
770,35.890901498381325,32.7188834527701,29.22617307726157,19.02582128360913,22.45115464449343
775,35.61420864661686,32.7236249873241,29.289816289101783,18.986896963400387,22.637814080844727
780,35.210777933032496,32.72415383129041,29.279164109962025,18.922900534979107,22.36027911730147
785,34.9245077936147,32.749799409718314,29.26872740461024,19.174595124503053,22.110465334186923
790,34.73244666586259,32.748378589861,29.28631479966731,19.18754698424581,22.21339319837171
795,34.53352721590897,32.73985314393396,29.22885722904601,18.69311002513212,22.84844372449184
800,34.495508586837886,32.74146259383511,29.222871932787417,18.938937972807967,22.83593392109192
805,34.65108363093389,32.74896904972553,29.242055081215938,18.448366444713447,23.267226610762343
810,35.224274933290424,32.7590753906387,29.253891599347508,18.95221252578288,23.26766767458851
815,35.82692200868303,32.75616817196815,29.28687947815116,19.029988095432014,23.050337480451468
820,36.64798697563478,32.75270039240601,29.269826088022977,19.13726418129701,23.507405533544876
825,37.26584847241576,32.76695226670997,29.246724316289047,18.8384800788364,24.199701687029897
830,37.78640538825172,32.759487449425784,29.279844902427733,18.998895388481493,23.98915598490256
835,38.218529264375306,32.76227315472901,29.306179663916115,18.720934607115787,23.95599443403218
840,38.70537018501771,32.76274943821099,29.32104819807823,19.08700391169904,23.93340548573723
845,39.09574710029693,32.763535898844935,29.35189859055885,19.154962967660893,23.74147034924765
850,39.51922576649813,32.747680437518945,29.307101123423717,18.55193193512374,23.640961515020297
855,39.75903031375169,32.773753490490854,29.362140748685587,18.107991465739463,23.694501751660788
860,39.77974021913633,32.77101295559299,29.331535418341627,18.136355764241493,23.71565350649615
865,39.52823378025093,32.76164582013911,29.37423004580527,18.036507322255844,23.91011849221261
870,39.00796425019438,32.755403780078915,29.377074001967063,18.128318112118595,24.208770926278326
875,38.127707163195815,32.75776158819499,29.3394424809738,18.32415216582415,24.11558239382696
880,37.17063966964367,32.75936546347684,29.35539271963009,18.538530085455093,23.82659575852464
885,36.34768732802122,32.76435116689295,29.385689497903137,18.32588349059201,23.53597003971109
890,35.42317785245921,32.76492804166347,29.388672373436425,18.558644758586198,23.656947975472463
895,34.705903862875886,32.766046932546,29.266944110782624,18.29079012786992,23.642885125700055
900,34.17189660988857,32.766997698812894,29.18503307658167,18.32973131407728,23.57099524624773
905,34.069367789502245,32.7589829524679,29.189432947815536,18.43653983467334,23.398872403518315
910,33.85270892833528,32.75107484289063,29.189255073488933,18.48583831415709,23.50377355154989
915,33.568923021732786,32.73231130998525,29.17278117495941,18.620175203658,23.223446924329654
920,33.36119100261652,32.70025762554465,29.194856906711404,18.606796749180354,23.39093343662413
925,33.19079024590055,32.69067749059898,29.183943482421764,18.650272309121867,23.671422429005744
930,33.14304434264453,32.7070150260061,29.21642684716885,18.580442938323305,23.245099640741184
935,32.96769624490745,32.690284621809134,29.16000252028911,18.661285838486105,23.46652117004946
940,32.463347330497825,32.661638594702914,29.23779270905523,18.761699025478887,23.36564812109414
945,32.44178197664599,32.623501210135686,29.180431915115783,18.798075448598,23.85301331140135
950,32.5745164592939,32.624802003961,29.183554836980026,18.853331391791656,23.976889751914904
955,32.95809449741907,32.611619561886364,29.207515651650397,19.309028908768628,24.033793827226408
960,33.282862346446464,32.62320814677179,29.185115701481227,19.48037069214551,24.095599077630187
965,33.71738360844418,32.64496485560893,29.153667666063534,19.72385280103934,23.95743387507228
970,34.213486665370155,32.6155154358881,29.139913025342185,20.193262523672125,24.15344064650525
975,34.80800596668578,32.66794514739009,29.12138000226699,20.57815343513308,24.155578311960667
980,35.57457697516527,32.687290514290126,29.099940686221128,20.74309442509219,24.30251750344151
985,35.98546626012059,32.66595440713732,29.088683878384963,20.781676938644484,24.2243573853856
990,36.40612637200728,32.63677213953331,29.06406980014764,20.756679050791355,24.331821277120454
995,36.87016683613519,32.63776379606288,29.078482755179312,20.744470784165276,24.243673230983088
1000,37.3920101869769,32.645134599689065,29.060998488591324,20.49953607260543,24.2304651787407
