,shock_0,s_0,k_0,y_0,c_0
64,1,0.10079966783523558,28.120352768125134,3.5915354757687092,3.229509892792758
65,1,0.10079191625118254,28.198909893512994,3.5945425355446967,3.2322417053407624
66,1,0.10078451335430144,28.27478210717488,3.5974412588822404,3.234874892285108
67,1,0.10077743232250212,28.348060504640493,3.6002357203299638,3.237413208679356
68,1,0.10077064633369445,28.41883308593966,3.6029298268456107,3.2398602594994323
69,0,0.10076412856578826,28.487184848950847,3.6055273252567126,3.2422195063070824
70,0,0.10069256722927092,28.553197880458733,2.952026025813862,2.6547789467470424
71,0,0.10069699287414549,28.501477373628312,2.950420841217306,2.6533223347935166
72,0,0.10070125758647917,28.451553144511788,2.9488694702695115,2.651914606154997
73,0,0.10070541501045226,28.403362321435473,2.9473701555653107,2.6505540208596847
74,0,0.10070946514606474,28.356844522109547,2.9459212020686167,2.649239053445834
75,0,0.10071335434913634,28.311941474488698,2.944520966378438,2.647968382903105
76,0,0.10071716308593749,28.268596651255702,2.9431678462877517,2.646740330323901
77,0,0.10072081089019774,28.226755932347313,2.941860302366476,2.645553747186442
78,0,0.1007243514060974,28.186366649566786,2.940596828990475,2.644407120643583
79,1,0.10072783827781676,28.147378259307697,2.939375976152874,2.643298988189248
80,1,0.10080068707466125,28.1097422671256,3.5911288696550696,3.2291406122201867
81,1,0.10079293549060821,28.188661775998,3.594150584426234,3.231885596426629
82,1,0.1007854789495468,28.2648843658657,3.597063421420805,3.2345316616810136
83,1,0.10077837109565733,28.33850119801157,3.5998714645123546,3.237082282165061
84,1,0.10077150464057921,28.409600817954146,3.602578647790484,3.2395413768666135
85,1,0.10076496005058287,28.478268271146636,3.605188725767113,3.241912027840378
86,1,0.10075868368148802,28.54458633295309,3.607705323820454,3.244197684281609
87,1,0.10075262188911437,28.608634774285036,3.610131913566358,3.246401657908982
88,1,0.1007468283176422,28.670490453877537,3.6124718195195054,3.248526741316053
89,0,0.10074130296707152,28.730228050616866,3.614728249663809,3.2505758159207954
90,0,0.10067274570465087,28.78791980893492,2.959285326864307,2.661365947685392
91,0,0.10067773461341857,28.728042845786614,2.9574374459028885,2.659689343588491
92,0,0.10068261623382567,28.670247118660125,2.955651235728847,2.658068536640927
93,0,0.10068733692169188,28.6144600551011,2.9539247121934014,2.6565018994554728
94,0,0.10069192349910736,28.560611340286062,2.9522559412650975,2.654987611877447
95,0,0.10069637596607207,28.50863327121198,2.950643051323061,2.6535239892853557
96,0,0.1007006675004959,28.458460517596492,2.9490842270276847,2.652109476850813
97,0,0.10070487856864928,28.41002989148238,2.947577703344481,2.650742248657517
98,0,0.10070887506008147,28.363280850755043,2.9461217823297137,2.649421171841286
99,1,0.10071281790733336,28.31815424401156,2.944714795105661,2.6481442701571543
100,1,0.10078454017639159,28.274593855844525,3.597434073419112,3.234868334514683
101,1,0.10077743232250212,28.347878740917487,3.600228795054952,3.2374069813157784
102,1,0.10077064633369445,28.418657434112525,3.6029231461077953,3.2398542519838847
103,1,0.10076412856578826,28.48701510591236,3.605520880101358,3.2422137105921904
104,1,0.10075787901878355,28.55303384967928,3.6080255911510664,3.2444885851411924
105,1,0.1007518708705902,28.616793096763168,3.610440733068541,3.2466820745445
106,1,0.10074607729911803,28.678369537283437,3.6127696194073837,3.2487972520666624
107,1,0.10074055194854735,28.737837204555934,3.615015429505221,3.25083677983435
108,1,0.10073524117469787,28.795268039316344,3.617181232386322,3.252803608569295
109,0,0.10073014497756957,28.850731311196753,3.6192699673075306,3.2547003787876796
110,0,0.10066303610801695,28.904294023809683,2.9628691046941538,2.664617705024998
111,0,0.10066834688186645,28.840370219448022,2.9609018054546454,2.6628327154199924
112,0,0.10067349672317503,28.778669491602578,2.959000025865915,2.661107146458028
113,0,0.10067848563194273,28.7191139896755,2.9571616588614185,2.6594391012784073
114,0,0.1006833404302597,28.66162860167201,2.9553846596069757,2.6578266598213993
115,0,0.10068808794021605,28.606141000518964,2.953667048461908,2.656267960940257
116,0,0.10069259405136108,28.5525815436355,2.952006909327193,2.654761675969497
117,0,0.1006970465183258,28.500882304915848,2.9504023609546364,2.653305557165809
118,0,0.10070131123065948,28.450978754828995,2.948851610307778,2.651898386525143
119,1,0.10070546865463256,28.40280789719716,2.94735289594021,2.6505383412639625
120,1,0.1007766544818878,28.35630937468057,3.6005499730721016,3.237698592491044
121,1,0.10076989531517028,28.426799927593002,3.6032328071482227,3.240135414375709
122,1,0.10076335072517394,28.494879195306297,3.605819451916375,3.2424850018312705
123,1,0.10075715482234954,28.560628634856382,3.6083134725941255,3.2447500733883894
124,1,0.10075117349624632,28.624127863883235,3.61071832566877,3.24693421719324
125,1,0.10074543356895446,28.685453109855636,3.6130373030742113,3.249040293475194
126,1,0.10073993504047393,28.744678279229735,3.6152735755525516,3.2510711503978453
127,1,0.10073465108871459,28.80187486817396,3.617430191817167,3.253029623606683
128,1,0.10072955489158629,28.85711187655222,3.619510077698723,3.2549184386465195
129,0,0.10072470009326934,28.910455885838196,3.6215160413184746,3.256739924173707
130,0,0.10065826177597045,28.961971617382613,2.9646415604606644,2.666225894195893
131,0,0.10066373348236082,28.896041454146005,2.9626152974832545,2.664387380766635
132,0,0.10066901743412017,28.832404752417588,2.960656448902929,2.6626100732318796
133,0,0.10067414045333861,28.77098103778869,2.958762847465902,2.6608919409919993
134,0,0.10067910254001616,28.711692814734644,2.9569323941379277,2.65923109442462
135,0,0.10068395733833312,28.65446531348886,2.9551630519193974,2.6576255412721266
136,0,0.10068865120410918,28.59922668215317,2.9534528533113757,2.6560736691165254
137,0,0.1006932109594345,28.545907300503725,2.9517998805097267,2.6545736724315274
138,0,0.10069758296012878,28.494440135115834,2.9502022777081964,2.6531240390995143
139,1,0.10070184767246246,28.44476021085483,2.9486582359438103,2.651722903429645
140,1,0.10077273845672606,28.396805262504706,3.602091795507801,3.2390991411019745
141,1,0.10076614022254943,28.465910486491698,3.604719326641635,3.2414856735103297
142,1,0.10075981020927428,28.53265144052351,3.6072527279027167,3.243786627662352
143,1,0.10075369477272032,28.59710837825508,3.6096954962430328,3.246005337992099
144,1,0.10074784755706787,28.65935862641305,3.6120509804093457,3.248144618866707
145,1,0.10074226856231688,28.719477317461813,3.6143224115749057,3.2502073725172256
146,1,0.1007369041442871,28.777537135401673,3.616512896326379,3.2521965833525703
147,1,0.1007317006587982,28.833608070104304,3.6186254098824784,3.2541151182978756
148,1,0.1007267653942108,28.887757501461373,3.6206628016221627,3.255965149031621
149,0,0.1007219910621643,28.940051246089872,3.622627836575407,3.2577495479983116
150,0,0.10065595507621763,28.990552318627962,2.965518941530396,2.6670218001740404
151,0,0.10066142678260802,28.92362806399978,2.963463523201456,2.6651570567377827
152,0,0.1006667912006378,28.859031725416173,2.9614764413959938,2.6633541108243755
153,0,0.1006719946861267,28.79668205079149,2.9595555153191664,2.6616111582076583
154,0,0.1006770372390747,28.736500359232668,2.9576986191778025,2.659926285152879
155,0,0.1006819188594818,28.67841073849684,2.9559036898707034,2.6582976344106983
156,0,0.10068663954734801,28.62233994485612,2.954168725443017,2.656723403822287
157,0,0.10069125294685363,28.56821730674265,2.952491783559267,2.6552016865573935
158,0,0.10069575905799864,28.515974922505965,2.950870989014073,2.6537307948930735
159,1,0.10070005059242247,28.465547270476065,2.949304522955253,2.6523094082811984
160,1,0.10077080726623534,28.41687054281718,3.602855181879965,3.2397925567385815
161,1,0.1007643163204193,28.48528928617134,3.605455349075724,3.2421541058023102
162,1,0.10075803995132446,28.55136723068622,3.607962410542744,3.244431189838401
163,1,0.10075200498104095,28.615183547336834,3.6103798111770624,3.2466268064579014
164,1,0.10074626505374908,28.676814995599205,3.6127108680807143,3.2487437414024947
165,1,0.10074071288108824,28.736336157864564,3.614958782171802,3.2507852574200644
166,1,0.10073540210723876,28.79381854207576,3.6171266068841215,3.2527539036668576
167,1,0.10073025226593016,28.84933164223083,3.6192172906614837,3.254652619967936
168,1,0.10072537064552306,28.902942196727253,3.621233651224231,3.2564835495106297
169,0,0.10072064995765685,28.954715400807597,3.6231784232636555,3.2582495375599816
170,0,0.1006547749042511,29.004713667179953,2.9659534475957807,2.66741607095154
171,0,0.10066032707691192,28.937296600069782,2.9638835899027227,2.665538098325223
172,0,0.1006656914949417,28.872224969452475,2.961882538506546,2.663722584640991
173,0,0.10067092180252074,28.809416469292593,2.959948085407531,2.661967383161948
174,0,0.10067601799964904,28.74879198431416,2.958078096297061,2.6602705726298903
175,0,0.1006809264421463,28.690275183745033,2.956270499743125,2.6586304470154003
176,0,0.10068572759628294,28.633792129896054,2.954523276645767,2.6570449508365344
177,0,0.10069034099578857,28.579271918043794,2.9528344814875207,2.65551257064242
178,0,0.10069484710693358,28.526645695786222,2.9512022133776035,2.654031357719902
179,1,0.10069919228553771,28.475847460168172,2.949624642037005,2.65259982303836
180,1,0.10076989531517028,28.426813229648815,3.603233312977892,3.2401358692329754
181,1,0.10076337754726408,28.494892049870753,3.6058199399117536,3.2424853439389727
182,1,0.10075715482234954,28.560641217266074,3.6083139494877403,3.24475050223156
183,1,0.10075117349624632,28.62414002268718,3.6107187857911875,3.246934630957784
184,1,0.10074543356895446,28.685464859167645,3.613037747034741,3.2490406927087276
185,1,0.10073993504047393,28.74468963270384,3.6152740039369866,3.2510715356268602
186,1,0.10073462426662444,28.80188583901863,3.617430605188793,3.253030092364512
187,1,0.10072955489158629,28.857122316811832,3.619510470551136,3.254918791927084
188,1,0.10072470009326934,28.910465974023886,3.621516420432405,3.2567402651015005
189,0,0.10072000622749328,28.961981365266407,3.6234511619877403,3.2584971383873174
190,0,0.10065418481826781,29.01173060494054,2.966168690011279,2.6676113984847243
191,0,0.10065976381301879,28.944069308105366,2.9640916799086243,2.665726911488888
192,0,0.10066518187522887,28.878762060587057,2.962083706535167,2.6639050114871523
193,0,0.10067038536071776,28.81572639822237,2.9601425596396376,2.6621438674380538
194,0,0.10067548155784606,28.754882471706004,2.9582660847348636,2.6604412220779374
195,0,0.10068044364452361,28.69615382401301,2.95645220874917,2.658795288758472
196,0,0.10068524479866027,28.639466541228042,2.9546989154600127,2.6572043318505854
197,0,0.10068988502025603,28.5847491606031,2.953004244097092,2.6556665862946276
198,0,0.1006943643093109,28.531932727330158,2.9513662924704818,2.654180339806239
199,1,0.10069876313209533,28.480950704229222,2.949783215477698,2.6527436941712788
200,1,0.10076938569545744,28.431739320333335,3.6034206232204693,3.2403061406162
201,1,0.10076292157173156,28.49964937330907,3.6060005306934686,3.2426493820315803
202,1,0.1007567524909973,28.56523570838036,3.608488078278262,3.2449085381084646
203,1,0.10075077116489409,28.628577423615724,3.6108867000512066,3.2470870804319882
204,1,0.10074503123760223,28.689750404022664,3.613199672516876,3.249187758641469
205,1,0.1007395327091217,28.748828385076244,3.6154301576830887,3.2512134130556283
206,1,0.1007342755794525,28.80588269725164,3.617581195902129,3.253166774783079
207,1,0.10072923302650451,28.860982340597644,3.619655711046406,3.255050567452695
208,1,0.1007243514060974,28.914193896505523,3.6216565093873485,3.2568675064636374
209,0,0.1007196843624115,28.96558144267218,3.6235862784738173,3.258619812245969
210,0,0.10065388977527617,29.01520727555522,2.966275322316274,2.66770817298073
211,0,0.10065946877002716,28.94742495299376,2.964194768752983,2.6658204979994142
212,0,0.10066491365432738,28.88200087582641,2.9621833638397757,2.6639954312905596
213,0,0.10067014396190642,28.818852577442765,2.960238898541579,2.6622312224637628
214,0,0.10067524015903472,28.757900060857576,2.958359215045452,2.6605256905940573
215,0,0.10068017542362212,28.69906658132759,2.9565422325405333,2.658877041921005
216,0,0.10068497657775878,28.64227794749331,2.954785927279599,2.6572833753991616
217,0,0.1006896436214447,28.587462719657037,2.9530883401841033,2.655742927628322
218,0,0.10069414973258971,28.534551965351394,2.9514475706914682,2.654254067080373
